bad_token,filename
ัคคี,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_16__party_list_vote_page_3.md
า,district_ban_thi__01_subdistrict_ban_thi__polling_unit_10__constituency_vote_page_1.md
เ,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_13__party_list_vote_page_3.md
เกินลง,district_ban_thi__01_subdistrict_ban_thi__polling_unit_14__party_list_vote_page_3.md
เก๋า,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_5__party_list_vote_page_3.md
เขต,district_mae_tha__06_subdistrict_tha_kat__polling_unit_10__party_list_vote_page_2.md
เขตร่วมภาค,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_10__constituency_vote_page_1.md
เขิด,advance_outside_district_and_overseas__party_list_vote_05_page_2.md
เข็ด,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_1__party_list_vote_page_2.md
เข็ม,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_2.md
เข้า,district_mae_tha__07_subdistrict_municipality_tha_kat__polling_unit_4__party_list_vote_page_2.md
เจด,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_10__party_list_vote_page_2.md
เจิด,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_7__party_list_vote_page_2.md
เจ้าของที่สิงห์เก่า,district_mueang_lamphun__12_subdistrict_umong__polling_unit_12__constituency_vote_page_1.md
เจ้าสิงห์เก่า,district_mueang_lamphun__12_subdistrict_umong__polling_unit_12__constituency_vote_page_1.md
เช็ค,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_9__party_list_vote_page_2.md
เช็ด,district_ban_thi__01_subdistrict_ban_thi__polling_unit_4__constituency_vote_page_1.md
เดิน,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_10__party_list_vote_page_3.md
เถ้า,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_11__party_list_vote_page_2.md
เท่า,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_7__party_list_vote_page_2.md
เท้า,district_mae_tha__06_subdistrict_tha_kat__polling_unit_7__party_list_vote_page_2.md
เบ็ด,advance_outside_district_and_overseas__party_list_vote_07_page_1.md
เปด,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_8__party_list_vote_page_2.md
เป็ด,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_7__party_list_vote_page_2.md
เป็ดตะแหน,advance_outside_district_and_overseas__party_list_vote_07_page_2.md
เป็น,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_7__party_list_vote_page_2.md
เฝ็ด,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_1__party_list_vote_page_2.md
เพิ่มแปล,district_ban_thi__02_subdistrict_huai_yap__polling_unit_11__party_list_vote_page_3.md
เพียงรอยสีส้ม,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
เพื่อ,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_5__constituency_vote_page_1.md
เพื่อชีวิตใหม่,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
เพ็ง,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
เฟด,district_mueang_lamphun__06_subdistrict_nong_nam__polling_unit_5__party_list_vote_page_1.md
เลิศ,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_7__constituency_vote_page_1.md
เล่ม,district_mueang_lamphun__10_subdistrict_pratu_pa__polling_unit_3__party_list_vote_page_3.md
เล่า,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_7__party_list_vote_page_2.md
เว็ดสุข,district_mae_tha__06_subdistrict_tha_kat__polling_unit_8__party_list_vote_page_3.md
เศษ,district_mueang_lamphun__15_office_ban_paen__polling_unit_1__party_list_vote_page_2.md
เสถียร,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_2__party_list_vote_page_2.md
เสรีรวม,district_ban_thi__01_subdistrict_ban_thi__polling_unit_9__party_list_vote_page_2.md
เสรีรวมไทย,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_13__party_list_vote_page_2.md
เสาวชน,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
เสีย,district_ban_thi__02_subdistrict_huai_yap__polling_unit_15__party_list_vote_page_2.md
เหนือ,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_4__party_list_vote_page_3.md
เหน็ง,district_mae_tha__06_subdistrict_tha_kat__polling_unit_5__party_list_vote_page_2.md
เหน้า,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_14__party_list_vote_page_3.md
เหลือ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_5__constituency_vote_page_1.md
เหลือง,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_4__party_list_vote_page_2.md
เหลือเกิน,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_2__party_list_vote_page_3.md
เหล็ก,district_ban_thi__02_subdistrict_huai_yap__polling_unit_12__party_list_vote_page_2.md
เหล่า,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_10__party_list_vote_page_2.md
เห็ด,advance_outside_district_and_overseas__party_list_vote_04_page_2.md
เห็นชอบมากขึ้น,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_3.md
เอ็กคะเทน,advance_outside_district_and_overseas__party_list_vote_07_page_2.md
เฮด,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_12__party_list_vote_page_1.md
เฮ็ด,district_mueang_lamphun__06_subdistrict_nong_nam__polling_unit_5__party_list_vote_page_1.md
แก,district_mueang_lamphun__12_subdistrict_umong__polling_unit_16__party_list_vote_page_1.md
แน่น,district_mueang_lamphun__15_office_ban_paen__polling_unit_3__constituency_vote_page_1.md
แฝด,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_13__party_list_vote_page_3.md
แพค,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_10__constituency_vote_page_1.md
แพร,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_16__party_list_vote_page_1.md
แพ่ง,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_10__party_list_vote_page_2.md
แฟด,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_16__party_list_vote_page_2.md
แม่ค,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_12__party_list_vote_page_2.md
แรงงานสร้างชาติ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
แล้วดังนั้นจึงขอรายงานผลการนับคะแนนของหน่วยเลือกตั้งดังกล่าวดังนี้,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
แห่ง,district_mueang_lamphun__12_subdistrict_umong__polling_unit_13__party_list_vote_page_1.md
ใน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_15__party_list_vote_page_3.md
ใบ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__constituency_vote_page_1.md
ให้การออกข้างแรกและหัวข้อ,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_4__constituency_vote_page_2.md
ไทย,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
ไทยก้าวหน้า,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
ไทยภักดี,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
ไทรวมพลัง,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
ไม่,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_3.md
ไม่มี,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_1__party_list_vote_page_2.md
ไม่มีคะแนน,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_12__party_list_vote_page_2.md
